"tail.node"	"head.node"	"capacity..veh.h."	"length..miles."	"fftt.min."	"Power"	"B"	"Flow"	"speed.limit..mph."	"toll..cents."	"link.type"	"X"
208	7070	99999	0	0.59482	3.6	0.9	0	0	0	1	";"
208	7271	99999	0	1.26716	3.6	0.9	0	0	0	1	";"
209	34477	99999	0	0.89669	3.6	0.9	0	0	0	1	";"
210	6888	99999	0	1.55225	3.6	0.9	0	0	0	1	";"
210	18908	99999	0	0.73952	3.6	0.9	0	0	0	1	";"
211	34434	99999	0	1.08219	3.6	0.9	0	0	0	1	";"
211	40448	99999	0	1.0951	3.6	0.9	0	0	0	1	";"
212	40503	99999	0	0.52259	3.6	0.9	0	0	0	1	";"
213	34407	99999	0	0.82938	3.6	0.9	0	0	0	1	";"
214	34407	99999	0	0.13834	3.6	0.9	0	0	0	1	";"
215	6423	99999	0	1.70448	3.6	0.9	0	0	0	1	";"
215	34469	99999	0	0.81348	3.6	0.9	0	0	0	1	";"
216	6423	99999	0	0.75647	3.6	0.9	0	0	0	1	";"
216	34475	99999	0	0.9558	3.6	0.9	0	0	0	1	";"
217	34439	99999	0	0.59482	3.6	0.9	0	0	0	1	";"
217	34478	99999	0	0.80905	3.6	0.9	0	0	0	1	";"
218	40441	99999	0	0.56362	3.6	0.9	0	0	0	1	";"
219	40441	99999	0	0.66234	3.6	0.9	0	0	0	1	";"
219	40442	99999	0	0.59787	3.6	0.9	0	0	0	1	";"
220	40442	99999	0	0.75944	3.6	0.9	0	0	0	1	";"
221	40505	99999	0	0.44189	3.6	0.9	0	0	0	1	";"
222	40506	99999	0	0.11184	3.6	0.9	0	0	0	1	";"
223	25171	99999	0	0.90241	3.6	0.9	0	0	0	1	";"
224	5597	99999	0	0.82031	3.6	0.9	0	0	0	1	";"
224	5694	99999	0	0.57942	3.6	0.9	0	0	0	1	";"
225	5439	99999	0	0.43281	3.6	0.9	0	0	0	1	";"
225	5597	99999	0	1.19841	3.6	0.9	0	0	0	1	";"
226	40440	99999	0	0.49201	3.6	0.9	0	0	0	1	";"
227	40433	99999	0	0.57908	3.6	0.9	0	0	0	1	";"
228	40434	99999	0	0.6321	3.6	0.9	0	0	0	1	";"
229	40435	99999	0	0.17386	3.6	0.9	0	0	0	1	";"
230	40437	99999	0	0.556	3.6	0.9	0	0	0	1	";"
231	40433	99999	0	1.04558	3.6	0.9	0	0	0	1	";"
231	40436	99999	0	0.43234	3.6	0.9	0	0	0	1	";"
232	40438	99999	0	0.7269	3.6	0.9	0	0	0	1	";"
233	29202	99999	0	0.5389	3.6	0.9	0	0	0	1	";"
233	40439	99999	0	0.52494	3.6	0.9	0	0	0	1	";"
234	40439	99999	0	0.50069	3.6	0.9	0	0	0	1	";"
235	29198	99999	0	0.92726	3.6	0.9	0	0	0	1	";"
235	29205	99999	0	1.05346	3.6	0.9	0	0	0	1	";"
236	5694	99999	0	1.02556	3.6	0.9	0	0	0	1	";"
236	5807	99999	0	1.17299	3.6	0.9	0	0	0	1	";"
237	5697	99999	0	0.73703	3.6	0.9	0	0	0	1	";"
238	5697	99999	0	1.03755	3.6	0.9	0	0	0	1	";"
239	40504	99999	0	0.42681	3.6	0.9	0	0	0	1	";"
240	5848	99999	0	2.23048	3.6	0.9	0	0	0	1	";"
241	34410	99999	0	0.20688	3.6	0.9	0	0	0	1	";"
242	40497	99999	0	1.09519	3.6	0.9	0	0	0	1	";"
243	34427	99999	0	0.58486	3.6	0.9	0	0	0	1	";"
244	40502	99999	0	1.44637	3.6	0.9	0	0	0	1	";"
245	7043	99999	0	0.92419	3.6	0.9	0	0	0	1	";"
245	40501	99999	0	0.97389	3.6	0.9	0	0	0	1	";"
246	40500	99999	0	0.58821	3.6	0.9	0	0	0	1	";"
247	40501	99999	0	0.40459	3.6	0.9	0	0	0	1	";"
248	40508	99999	0	0.52441	3.6	0.9	0	0	0	1	";"
249	40510	99999	0	0.37057	3.6	0.9	0	0	0	1	";"
250	34515	99999	0	0.32371	3.6	0.9	0	0	0	1	";"
251	34483	99999	0	0.53491	3.6	0.9	0	0	0	1	";"
252	40499	99999	0	0.28858	3.6	0.9	0	0	0	1	";"
253	34510	99999	0	0.58721	3.6	0.9	0	0	0	1	";"
