"N"	"lon"	"lat"	"X"
432	-93.04317868	44.89139216	";"
433	-93.05508062	44.89303678	";"
434	-93.05596714	44.89906189	";"
435	-93.06299192	44.89167272	";"
436	-93.06827101	44.89969384	";"
437	-93.07576167	44.89979976	";"
438	-93.07556852	44.89449085	";"
439	-93.06824316	44.89088268	";"
440	-93.0756205	44.88742942	";"
441	-93.07384282	44.87882052	";"
442	-93.06440343	44.88033122	";"
443	-93.05164304	44.8817779	";"
444	-93.03703641	44.88237652	";"
445	-93.02837466	44.88939344	";"
446	-93.02022575	44.87250597	";"
447	-93.03490704	44.87054694	";"
448	-93.04785876	44.8698056	";"
449	-93.0567959	44.87048346	";"
450	-93.06946301	44.87109388	";"
451	-93.0761922	44.85748336	";"
452	-93.06386966	44.85722785	";"
453	-93.05740943	44.85629008	";"
454	-93.05011975	44.86005522	";"
455	-93.04946833	44.85112082	";"
456	-93.03949475	44.85548522	";"
457	-93.03058682	44.8589967	";"
458	-93.02268184	44.8549135	";"
459	-93.01550084	44.85141229	";"
460	-93.0314083	44.84452335	";"
461	-93.0320396	44.83719256	";"
462	-93.02297631	44.81589083	";"
463	-93.03398555	44.82807648	";"
464	-93.04755209	44.82266887	";"
465	-93.06620471	44.83029572	";"
466	-93.05136145	44.83000449	";"
467	-93.04843728	44.84088209	";"
468	-93.0572673	44.84067907	";"
469	-93.0629157	44.83993996	";"
470	-93.07579639	44.8407278	";"
471	-93.09129309	44.85719602	";"
472	-93.11464896	44.85451055	";"
473	-93.13577535	44.85841355	";"
474	-93.14037787	44.85175025	";"
475	-93.15761906	44.85541063	";"
476	-93.17334055	44.85426742	";"
477	-93.19258349	44.84947704	";"
478	-93.21175767	44.82908419	";"
479	-93.19880639	44.82229651	";"
480	-93.1816818	44.82696754	";"
481	-93.17720408	44.84025016	";"
482	-93.16252213	44.84172362	";"
483	-93.15297092	44.84159894	";"
484	-93.15328799	44.83584313	";"
485	-93.13838227	44.83622093	";"
486	-93.14442564	44.84327291	";"
487	-93.13577508	44.8431774	";"
488	-93.125062	44.83954016	";"
489	-93.1117213	44.83954733	";"
490	-93.10765549	44.84539476	";"
491	-93.09131056	44.84132796	";"
492	-93.09109883	44.82574287	";"
493	-93.10045358	44.82343681	";"
494	-93.1080335	44.83006371	";"
495	-93.11779009	44.82572281	";"
496	-93.13584012	44.82600094	";"
497	-93.15326633	44.82990431	";"
498	-93.16292526	44.83005955	";"
499	-93.1715156	44.81802507	";"
500	-93.157749	44.82290468	";"
501	-93.1565821	44.81175133	";"
502	-93.15512844	44.80086095	";"
503	-93.15630351	44.79385178	";"
504	-93.13348965	44.79283036	";"
505	-93.13065804	44.8000726	";"
506	-93.13586974	44.81275263	";"
507	-93.12355342	44.80880033	";"
508	-93.11627551	44.81661392	";"
509	-93.10881662	44.81093955	";"
510	-93.11328942	44.79737549	";"
511	-93.09050475	44.79954194	";"
512	-93.09582697	44.81308914	";"
513	-93.07163285	44.81551356	";"
514	-93.05141463	44.79693355	";"
515	-93.08531319	44.78264306	";"
516	-93.11042512	44.78138236	";"
517	-93.1249783	44.78340902	";"
518	-93.15165878	44.78305182	";"
519	-93.14290426	44.77196486	";"
520	-93.17789152	44.77057434	";"
521	-93.17715081	44.78290498	";"
522	-93.17199553	44.79725404	";"
523	-93.17732017	44.80785622	";"
524	-93.1814521	44.79710834	";"
525	-93.19148413	44.79634444	";"
526	-93.19475005	44.78239493	";"
527	-93.19726329	44.76838964	";"
528	-93.21205662	44.76805336	";"
529	-93.20723018	44.78143156	";"
530	-93.21299406	44.78618752	";"
531	-93.21990466	44.79740554	";"
532	-93.21276048	44.79735155	";"
533	-93.20321488	44.79298204	";"
534	-93.20085422	44.80035817	";"
535	-93.18624206	44.81406895	";"
536	-93.20018291	44.81433364	";"
537	-93.20117116	44.80719054	";"
538	-93.21358168	44.81115448	";"
539	-93.22333641	44.80918919	";"
540	-93.22478772	44.79754984	";"
541	-93.23280937	44.79555203	";"
542	-93.23317082	44.80912086	";"
543	-93.2430435	44.79777182	";"
544	-93.25986091	44.79448282	";"
545	-93.2622958	44.80418954	";"
546	-93.28300365	44.77984888	";"
547	-93.2833202	44.77328669	";"
548	-93.27179073	44.7769889	";"
549	-93.2726589	44.78366967	";"
550	-93.25812517	44.78710972	";"
551	-93.26253714	44.7798505	";"
552	-93.25338827	44.78009222	";"
553	-93.24291135	44.78234923	";"
554	-93.23287867	44.7826439	";"
555	-93.22319425	44.78241761	";"
556	-93.23898291	44.76979639	";"
557	-93.25296495	44.76904342	";"
558	-93.26748044	44.77124877	";"
559	-93.26618048	44.76433547	";"
560	-93.2653921	44.75777245	";"
561	-93.27248358	44.74993636	";"
562	-93.2811215	44.74791981	";"
563	-93.2829949	44.76201633	";"
564	-93.307046	44.78487706	";"
565	-93.31980689	44.77249482	";"
566	-93.29778349	44.76935147	";"
567	-93.29449431	44.76248185	";"
568	-93.3090523	44.7630127	";"
569	-93.31902705	44.76207061	";"
570	-93.32418589	44.75388265	";"
571	-93.30955793	44.75101462	";"
572	-93.29617524	44.75375223	";"
573	-93.29707691	44.74835385	";"
574	-93.28866106	44.74909198	";"
575	-93.28755478	44.74299933	";"
576	-93.29618516	44.74164693	";"
577	-93.30874614	44.74257191	";"
578	-93.31740218	44.73961268	";"
579	-93.3260959	44.73955301	";"
580	-93.31909079	44.72618754	";"
581	-93.30429847	44.72743284	";"
582	-93.29065779	44.73469689	";"
583	-93.29024843	44.72328022	";"
584	-93.26685411	44.72760245	";"
585	-93.27770215	44.73249901	";"
586	-93.27557714	44.7388919	";"
587	-93.26486782	44.74495246	";"
588	-93.26184103	44.73510385	";"
589	-93.25231081	44.72588726	";"
590	-93.24339409	44.72496591	";"
591	-93.22812018	44.72146723	";"
592	-93.22833975	44.72875018	";"
593	-93.22169853	44.73491772	";"
594	-93.22025106	44.74280751	";"
595	-93.22792514	44.74279822	";"
596	-93.23279409	44.73803202	";"
597	-93.24357684	44.74169055	";"
598	-93.25291231	44.74545976	";"
599	-93.23064733	44.76575871	";"
600	-93.2288353	44.76016375	";"
601	-93.22921627	44.75209854	";"
602	-93.21258476	44.75314679	";"
603	-93.19675676	44.75396916	";"
604	-93.1824408	44.75089264	";"
605	-93.17608801	44.76059456	";"
606	-93.16597841	44.75253973	";"
607	-93.16662056	44.73915907	";"
608	-93.18195315	44.73921874	";"
609	-93.19182883	44.73868406	";"
610	-93.20187533	44.73965041	";"
611	-93.21258547	44.73916034	";"
612	-93.21235375	44.72964162	";"
613	-93.21329058	44.72480854	";"
614	-93.21215174	44.71991006	";"
615	-93.20282633	44.7199368	";"
616	-93.2022235	44.7246939	";"
617	-93.20251106	44.72950717	";"
618	-93.18721042	44.7246587	";"
619	-93.16668704	44.72463691	";"
620	-93.15128462	44.73948562	";"
621	-93.15170837	44.75963799	";"
622	-93.13296444	44.75873648	";"
623	-93.11335788	44.76475831	";"
624	-93.0955016	44.76469719	";"
625	-93.07054492	44.75676608	";"
626	-93.09836063	44.74315093	";"
627	-93.11166013	44.74598774	";"
628	-93.10118657	44.75132506	";"
629	-93.11965069	44.75352499	";"
630	-93.12314534	44.74521305	";"
631	-93.13560802	44.74487046	";"
632	-93.11915414	44.73579281	";"
633	-93.13641595	44.73545083	";"
634	-93.13339827	44.72442571	";"
635	-93.14165531	44.72458874	";"
636	-93.1515886	44.72454526	";"
637	-93.16657489	44.71018999	";"
638	-93.16710627	44.69708659	";"
639	-93.16457221	44.6778942	";"
640	-93.15053763	44.65422093	";"
641	-93.14720529	44.63569595	";"
642	-93.18795781	44.63632688	";"
643	-93.16856378	44.65197353	";"
644	-93.19505794	44.65300655	";"
645	-93.18686665	44.67825112	";"
646	-93.18690304	44.69631809	";"
647	-93.20501129	44.69661227	";"
648	-93.18545165	44.70771403	";"
649	-93.24238985	44.96641339	";"
650	-93.23712529	44.96841296	";"
651	-93.24439941	44.97475166	";"
652	-93.25035293	44.9686807	";"
653	-93.25657055	44.96423339	";"
654	-93.25747541	44.95913007	";"
655	-93.24890369	44.95850088	";"
656	-93.24395004	44.95150466	";"
657	-93.24993445	44.95194941	";"
658	-93.25754427	44.95374163	";"
659	-93.25757278	44.9501541	";"
660	-93.26842087	44.95011474	";"
661	-93.26726532	44.95364266	";"
662	-93.26611865	44.9590773	";"
663	-93.26603778	44.96421176	";"
664	-93.26631137	44.96753367	";"
665	-93.26698882	44.97075195	";"
666	-93.2587706	44.96845328	";"
667	-93.26557977	44.97275651	";"
668	-93.26397931	44.97470056	";"
669	-93.26188302	44.97710874	";"
670	-93.25546092	44.97305189	";"
671	-93.25434733	44.97857587	";"
672	-93.2645843	44.98272985	";"
673	-93.26868282	44.98511194	";"
674	-93.27377023	44.98935468	";"
675	-93.27874476	44.98732825	";"
676	-93.28213678	44.98572046	";"
677	-93.27346694	44.98100362	";"
678	-93.26952434	44.98021848	";"
679	-93.26667188	44.97915817	";"
680	-93.26868233	44.97669137	";"
681	-93.27187887	44.97799433	";"
682	-93.27173611	44.97535306	";"
683	-93.27379009	44.97293406	";"
684	-93.27713023	44.97519191	";"
685	-93.27851494	44.97750915	";"
686	-93.2841531	44.98208442	";"
687	-93.28434969	44.97727491	";"
688	-93.28451944	44.97420089	";"
689	-93.28276701	44.9708409	";"
690	-93.28437968	44.96643857	";"
691	-93.27770697	44.96934186	";"
692	-93.27413706	44.96877719	";"
693	-93.27075311	44.96857246	";"
694	-93.27118099	44.96451907	";"
695	-93.27463824	44.9646845	";"
696	-93.27788026	44.96446685	";"
697	-93.28319787	44.96382221	";"
698	-93.28382039	44.95911913	";"
699	-93.27809897	44.95910922	";"
700	-93.27466587	44.95911427	";"
701	-93.2711989	44.95919509	";"
702	-93.27570078	44.95385142	";"
703	-93.44808157	44.71573807	";"
704	-93.47682468	44.73377178	";"
705	-93.454538	44.73582813	";"
706	-93.45892371	44.75088278	";"
707	-93.42149874	44.75217026	";"
708	-93.41828702	44.76043312	";"
709	-93.41995	44.76861924	";"
710	-93.40525275	44.77642403	";"
711	-93.42940676	44.77795892	";"
712	-93.45394981	44.77713496	";"
713	-93.45555656	44.76396621	";"
714	-93.47706353	44.76825008	";"
715	-93.49009312	44.74919803	";"
716	-93.49409857	44.76838052	";"
717	-93.51265603	44.76919525	";"
718	-93.53041703	44.7689365	";"
719	-93.55714467	44.76902385	";"
720	-93.60469783	44.74325916	";"
721	-93.57419057	44.74725323	";"
722	-93.55153367	44.74724032	";"
723	-93.53197787	44.74830127	";"
724	-93.5126283	44.74454248	";"
725	-93.51638654	44.72500822	";"
726	-93.56441196	44.72555796	";"
727	-93.61689514	44.69778468	";"
728	-93.55710781	44.70005973	";"
729	-93.52984703	44.70198007	";"
730	-93.51050249	44.6689664	";"
731	-93.54646956	44.67057106	";"
732	-93.5912052	44.66666969	";"
733	-93.59371423	44.68717151	";"
734	-93.6312045	44.67037484	";"
735	-93.63675986	44.66147958	";"
736	-93.65915605	44.65640453	";"
737	-93.6789738	44.66956749	";"
738	-93.74262998	44.63779856	";"
739	-93.69582128	44.63966799	";"
740	-93.65830274	44.64027031	";"
741	-93.63194595	44.64062624	";"
742	-93.61422871	44.64953981	";"
743	-93.58239668	44.64533131	";"
744	-93.54238428	44.64549912	";"
745	-93.51254214	44.60339446	";"
746	-93.54011771	44.60210017	";"
747	-93.57798095	44.60518847	";"
748	-93.61881989	44.5985044	";"
749	-93.65910406	44.60875556	";"
750	-93.70179711	44.61620854	";"
751	-93.72538378	44.59943906	";"
752	-93.75415127	44.61570325	";"
753	-93.76185312	44.61998345	";"
754	-93.77560497	44.62582337	";"
755	-93.7872201	44.61379832	";"
756	-93.80595412	44.62111736	";"
757	-93.85843976	44.58300964	";"
758	-93.80566139	44.56734141	";"
759	-93.77776906	44.59953975	";"
760	-93.75461203	44.59802424	";"
761	-93.74492225	44.56401486	";"
762	-93.69362928	44.56945667	";"
763	-93.65510378	44.56522658	";"
764	-93.61513335	44.55820951	";"
765	-93.57895995	44.54715622	";"
766	-93.56779561	44.54713445	";"
767	-93.56623262	44.55286831	";"
768	-93.5711065	44.56533705	";"
769	-93.53870703	44.55859648	";"
770	-93.51221615	44.55790056	";"
771	-93.47136043	44.55823352	";"
772	-93.4718926	44.60108249	";"
773	-93.51146944	44.64176076	";"
774	-93.46850385	44.64311135	";"
